Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
grambling-state,2021,9/18/2021,Away,houston,L,0,45,5,12,41.7,49,0,34,53,1.6,0,46,102,2.2,1,2,0,3,6,45,1,0,1
idaho,2021,9/11/2021,Away,indiana,L,14,56,23,39,59,196,2,22,65,3,0,61,261,4.3,9,4,0,13,8,65,1,0,1
northern-iowa,2021,9/4/2021,Away,iowa-state,L,10,16,21,34,61.8,230,1,26,45,1.7,0,60,275,4.6,8,5,0,13,5,28,0,2,2
south-dakota,2021,9/3/2021,Away,kansas,L,14,17,10,22,45.5,98,0,41,164,4,2,63,262,4.2,6,6,2,14,8,40,0,0,0
southern-illinois,2021,9/11/2021,Away,kansas-state,L,23,31,16,28,57.1,176,0,40,100,2.5,2,68,276,4.1,9,7,1,17,2,10,2,1,3
virginia-military-institute,2021,9/11/2021,Away,kent-state,L,10,60,17,36,47.2,146,0,37,142,3.8,1,73,288,3.9,6,8,5,19,3,30,0,4,4
chattanooga,2021,9/18/2021,Away,kentucky,L,23,28,21,35,60,168,1,28,171,6.1,1,63,339,5.4,9,6,1,16,5,40,0,1,1
campbell,2021,9/4/2021,Away,liberty,L,7,48,15,32,46.9,183,1,29,86,3,0,61,269,4.4,7,7,3,17,8,60,0,0,0
nicholls-state,2021,9/11/2021,Away,louisiana-lafayette,L,24,27,26,37,70.3,359,3,37,152,4.1,0,74,511,6.9,15,9,0,24,5,45,0,1,1
southeastern-louisiana,2021,9/11/2021,Away,louisiana-tech,L,42,45,44,59,74.6,495,3,27,99,3.7,3,86,594,6.9,23,7,2,32,10,100,1,2,3
jackson-state,2021,9/18/2021,Away,louisiana-monroe,L,7,12,28,42,66.7,259,1,17,26,1.5,0,59,285,4.8,14,1,1,16,7,60,2,1,3
eastern-kentucky,2021,9/11/2021,Away,louisville,L,3,30,23,34,67.6,149,0,22,86,3.9,0,56,235,4.2,7,4,3,14,2,15,1,2,3
mcneese-state,2021,9/11/2021,Away,louisiana-state,L,7,34,10,20,50,91,1,42,51,1.2,0,62,142,2.3,5,3,2,10,3,25,1,0,1
north-carolina-central,2021,9/11/2021,Away,marshall,L,10,44,14,32,43.8,106,1,28,71,2.5,0,60,177,3,4,3,2,9,12,81,2,0,2
howard,2021,9/11/2021,Away,maryland,L,0,62,12,31,38.7,80,0,20,66,3.3,0,51,146,2.9,3,4,1,8,5,35,0,1,1
rhode-island,2021,11/6/2021,Away,massachusetts,W,35,22,11,20,55,169,2,36,168,4.7,3,56,337,6,6,7,3,16,9,87,0,0,0
maine,2021,11/13/2021,Away,massachusetts,W,35,10,16,27,59.3,209,2,35,157,4.5,3,62,366,5.9,7,9,2,18,7,74,0,0,0
nicholls-state,2021,9/4/2021,Away,memphis,L,17,42,19,34,55.9,199,1,27,102,3.8,1,61,301,4.9,11,5,1,17,12,112,0,1,1
central-connecticut-state,2021,9/25/2021,Away,miami-fl,L,0,69,19,37,51.4,169,0,26,29,1.1,0,63,198,3.1,2,8,1,11,7,60,0,1,1
long-island,2021,9/18/2021,Away,miami-oh,L,7,42,15,21,71.4,178,1,38,38,1,0,59,216,3.7,10,2,1,13,5,36,0,0,0
youngstown-state,2021,9/11/2021,Away,michigan-state,L,14,42,16,32,50,137,0,45,167,3.7,2,77,304,3.9,8,11,1,20,4,34,0,1,1
monmouth,2021,9/4/2021,Away,middle-tennessee-state,L,15,50,27,42,64.3,186,1,38,88,2.3,1,80,274,3.4,7,10,0,17,2,15,3,1,4
tennessee-state,2021,11/20/2021,Away,mississippi-state,L,10,55,19,27,70.4,170,0,34,35,1,1,61,205,3.4,8,4,2,14,4,25,1,0,1
southeast-missouri-state,2021,9/18/2021,Away,missouri,L,28,59,8,15,53.3,79,0,36,294,8.2,4,51,373,7.3,4,13,2,19,2,25,0,1,1
fordham,2021,9/4/2021,Away,nebraska,L,7,52,18,30,60,163,1,27,130,4.8,0,57,293,5.1,7,5,0,12,2,15,0,3,3
idaho-state,2021,9/11/2021,Away,nevada,L,10,49,15,25,60,142,0,42,141,3.4,1,67,283,4.2,9,8,1,18,1,5,2,0,2
eastern-washington,2021,9/2/2021,Away,nevada-las-vegas,W,35,33,29,39,74.4,374,3,34,97,2.9,1,73,471,6.5,15,5,2,22,5,44,1,2,3
houston-baptist,2021,9/2/2021,Away,new-mexico,L,17,27,27,47,57.4,196,1,23,-9,-0.4,0,70,187,2.7,10,4,1,15,3,38,1,2,3
south-carolina-state,2021,9/18/2021,Away,new-mexico-state,L,35,43,30,47,63.8,352,4,27,76,2.8,1,74,428,5.8,16,6,2,24,5,47,0,3,3
wofford,2021,11/20/2021,Away,north-carolina,L,14,34,8,10,80,93,0,45,209,4.6,2,55,302,5.5,5,12,1,18,5,31,0,1,1
furman,2021,9/18/2021,Away,north-carolina-state,L,7,45,10,21,47.6,104,1,32,92,2.9,0,53,196,3.7,6,3,0,9,3,33,0,1,1
northwestern-state,2021,9/4/2021,Away,north-texas,L,14,44,16,26,61.5,157,1,49,261,5.3,1,75,418,5.6,7,12,2,21,7,63,3,1,4
maine,2021,9/25/2021,Away,northern-illinois,L,14,41,14,26,53.8,165,0,30,125,4.2,2,56,290,5.2,8,5,0,13,5,65,1,0,1
indiana-state,2021,9/11/2021,Away,northwestern,L,6,24,22,35,62.9,138,1,22,31,1.4,0,57,169,3,9,1,2,12,2,15,1,0,1
duquesne,2021,9/11/2021,Away,ohio,W,28,26,23,34,67.6,194,1,45,168,3.7,1,79,362,4.6,11,8,7,26,8,46,0,0,0
western-carolina,2021,9/11/2021,Away,oklahoma,L,0,76,21,36,58.3,123,0,27,55,2,0,63,178,2.8,6,3,2,11,4,30,2,1,3
missouri-state,2021,9/4/2021,Away,oklahoma-state,L,16,23,24,46,52.2,234,1,37,102,2.8,0,83,336,4,12,9,2,23,8,57,2,0,2
hampton,2021,9/11/2021,Away,old-dominion,L,7,47,7,16,43.8,83,1,40,104,2.6,0,56,187,3.3,5,7,1,13,8,60,0,0,0
austin-peay,2021,9/11/2021,Away,mississippi,L,17,54,24,44,54.5,260,1,38,114,3,1,82,374,4.6,11,8,7,26,3,15,2,0,2
