"","Team","Season","Date","Location","Opponent","Result","Points_Scored","Opp_points","Pass_Completions","Pass_Attempts","Passing_Pct","Pass_Yards","Pass_TD","Rush_Attempts","Rush_Yards","Rush_Avg","Rush_TD","Total_Plays","Total_Yards","Yards_per_play","Pass_first_downs","Rush_first_downs","Penalty_first_downs","Total_first_downs","Penalties","Penalty_yards","Fumbles","Interceptions","Turnovers"
"41","northern-iowa",2021,2021-09-04,"Away","iowa-state","L",10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","south-dakota",2021,2021-09-03,"Away","kansas","L",14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","southern-illinois",2021,2021-09-11,"Away","kansas-state","L",23,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","virginia-military-institute",2021,2021-09-11,"Away","kent-state","L",10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","chattanooga",2021,2021-09-18,"Away","kentucky","L",23,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","campbell",2021,2021-09-04,"Away","liberty","L",7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","nicholls-state",2021,2021-09-11,"Away","louisiana-lafayette","L",24,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","southeastern-louisiana",2021,2021-09-11,"Away","louisiana-tech","L",42,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","jackson-state",2021,2021-09-18,"Away","louisiana-monroe","L",7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","eastern-kentucky",2021,2021-09-11,"Away","louisville","L",3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","mcneese-state",2021,2021-09-11,"Away","louisiana-state","L",7,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","north-carolina-central",2021,2021-09-11,"Away","marshall","L",10,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","howard",2021,2021-09-11,"Away","maryland","L",0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","rhode-island",2021,2021-11-06,"Away","massachusetts","W",35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","maine",2021,2021-11-13,"Away","massachusetts","W",35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","nicholls-state",2021,2021-09-04,"Away","memphis","L",17,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","central-connecticut-state",2021,2021-09-25,"Away","miami-fl","L",0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","long-island",2021,2021-09-18,"Away","miami-oh","L",7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","youngstown-state",2021,2021-09-11,"Away","michigan-state","L",14,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","monmouth",2021,2021-09-04,"Away","middle-tennessee-state","L",15,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","tennessee-state",2021,2021-11-20,"Away","mississippi-state","L",10,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","southeast-missouri-state",2021,2021-09-18,"Away","missouri","L",28,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","fordham",2021,2021-09-04,"Away","nebraska","L",7,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","idaho-state",2021,2021-09-11,"Away","nevada","L",10,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","eastern-washington",2021,2021-09-02,"Away","nevada-las-vegas","W",35,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","houston-baptist",2021,2021-09-02,"Away","new-mexico","L",17,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","south-carolina-state",2021,2021-09-18,"Away","new-mexico-state","L",35,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","wofford",2021,2021-11-20,"Away","north-carolina","L",14,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","furman",2021,2021-09-18,"Away","north-carolina-state","L",7,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","northwestern-state",2021,2021-09-04,"Away","north-texas","L",14,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","maine",2021,2021-09-25,"Away","northern-illinois","L",14,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","indiana-state",2021,2021-09-11,"Away","northwestern","L",6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","duquesne",2021,2021-09-11,"Away","ohio","W",28,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","western-carolina",2021,2021-09-11,"Away","oklahoma","L",0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","missouri-state",2021,2021-09-04,"Away","oklahoma-state","L",16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","hampton",2021,2021-09-11,"Away","old-dominion","L",7,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","austin-peay",2021,2021-09-11,"Away","mississippi","L",17,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","stony-brook",2021,2021-09-18,"Away","oregon","L",7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","idaho",2021,2021-09-18,"Away","oregon-state","L",0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","villanova",2021,2021-09-25,"Away","penn-state","L",17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","new-hampshire",2021,2021-09-25,"Away","pittsburgh","L",7,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","texas-southern",2021,2021-09-25,"Away","rice","L",34,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","delaware",2021,2021-09-18,"Away","rutgers","L",13,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","towson",2021,2021-09-25,"Away","san-diego-state","L",21,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","southern-utah",2021,2021-08-28,"Away","san-jose-state","L",14,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","abilene-christian",2021,2021-09-04,"Away","southern-methodist","L",9,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","alcorn-state",2021,2021-09-18,"Away","south-alabama","L",21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","eastern-illinois",2021,2021-09-04,"Away","south-carolina","L",0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","florida-am",2021,2021-09-18,"Away","south-florida","L",17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","grambling-state",2021,2021-09-11,"Away","southern-mississippi","L",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","albany",2021,2021-09-18,"Away","syracuse","L",24,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","wagner",2021,2021-09-25,"Away","temple","L",7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","tennessee-tech",2021,2021-09-18,"Away","tennessee","L",0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","prairie-view-am",2021,2021-11-20,"Away","texas-am","L",3,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","duquesne",2021,2021-09-04,"Away","texas-christian","L",3,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","incarnate-word",2021,2021-09-18,"Away","texas-state","W",42,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","stephen-f.-austin",2021,2021-09-11,"Away","texas-tech","L",22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","norfolk-state",2021,2021-09-04,"Away","toledo","L",10,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","southern",2021,2021-09-04,"Away","troy","L",3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","morgan-state",2021,2021-09-11,"Away","tulane","L",20,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","california-davis",2021,2021-09-02,"Away","tulsa","W",19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","jacksonville-state",2021,2021-09-01,"Neutral","alabama-birmingham","L",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","bethune-cookman",2021,2021-09-11,"Away","central-florida","L",14,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","weber-state",2021,2021-09-02,"Away","utah","L",17,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","north-dakota",2021,2021-09-10,"Away","utah-state","L",24,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","bethune-cookman",2021,2021-09-04,"Away","texas-el-paso","L",28,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","lamar",2021,2021-09-11,"Away","texas-san-antonio","L",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","east-tennessee-state",2021,2021-09-04,"Away","vanderbilt","W",23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","william-mary",2021,2021-09-04,"Away","virginia","L",0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","richmond",2021,2021-09-25,"Away","virginia-tech","L",10,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","norfolk-state",2021,2021-09-11,"Away","wake-forest","L",16,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","montana",2021,2021-09-04,"Away","washington","W",13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","portland-state",2021,2021-09-11,"Away","washington-state","L",24,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","long-island",2021,2021-09-11,"Away","west-virginia","L",0,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","tennessee-martin",2021,2021-09-02,"Away","western-kentucky","L",21,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","illinois-state",2021,2021-09-11,"Away","western-michigan","L",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","montana-state",2021,2021-09-04,"Away","wyoming","L",16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
