"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"temple",1930,"2021",75,786,334,426,26,0.441,9,3,6,0,0.333,-3.14,-0.92,1,1,"record adjusted to 329-431-26 by NCAA"
"tennessee",1902,"2021",118,1276,831,390,51,0.673,54,29,25,0,0.537,10.01,3.62,44,13,"record adjusted to 832-390-50 by NCAA"
"tennessee-medical-college",1904,"1904",1,6,2,4,0,0.333,0,0,0,0,0,-9.28,2.06,0,0,""
"tennessee-state",1977,"1977",1,10,8,1,1,0.85,0,0,0,0,0,3.58,-8.72,0,0,""
"texas",1902,"2021",121,1285,877,375,32,0.695,57,31,24,2,0.561,11.8,4.12,49,30,"record adjusted to 878-375-31 by NCAA"
"texas-am",1903,"2021",120,1268,744,478,44,0.605,42,20,22,0,0.476,7.99,3.3,28,18,""
"texas-arlington",1971,"1981",11,120,49,71,0,0.408,0,0,0,0,0,-9.71,-6.19,0,1,""
"texas-christian",1903,"2021",117,1245,646,545,50,0.541,34,17,16,1,0.515,2.76,1.79,20,17,"record adjusted to 646-544-50 by NCAA"
"texas-el-paso",1935,"2021",85,921,336,565,18,0.375,15,5,10,0,0.333,-9.44,-5.09,0,2,""
"texas-san-antonio",2012,"2021",11,122,60,62,0,0.492,3,0,3,0,0,-7.17,-5.55,0,1,""
"texas-southern",1977,"1977",1,11,6,4,1,0.591,0,0,0,0,0,-5.98,-9.98,0,0,""
"texas-state",2012,"2021",11,120,36,84,0,0.3,0,0,0,0,0,-12.63,-5.21,0,0,""
"texas-tech",1932,"2021",91,1021,551,444,24,0.553,39,15,23,1,0.397,3.9,1.94,11,11,""
"toledo",1962,"2021",61,687,400,277,8,0.59,19,10,9,0,0.526,-4.18,-7.1,4,11,"record adjusted to 402-275-8 by NCAA"
"trinity-ct",1887,"1901",15,126,50,62,14,0.452,0,0,0,0,0,-4.52,-2.66,0,0,""
"troy",2001,"2021",22,256,136,120,0,0.531,8,5,3,0,0.625,-4.16,-5.24,0,6,""
"tufts",1877,"1905",17,178,70,103,5,0.407,0,0,0,0,0,-6.06,-2.49,0,0,""
"tulane",1902,"2021",118,1200,517,646,35,0.446,14,6,8,0,0.429,0.28,1.87,7,4,"record adjusted to 516-647-35 by NCAA"
"tulsa",1917,"2021",91,987,502,466,18,0.518,23,11,12,0,0.478,-1.37,-2.2,8,27,""
"ucla",1928,"2021",95,1046,598,400,31,0.596,36,16,19,1,0.458,9.07,5.66,31,17,"record adjusted to 591-407-31 by NCAA"
"union-ny",1894,"1902",3,18,3,15,0,0.167,0,0,0,0,0,-10.45,3.85,0,0,""
"utah",1905,"2021",116,1151,670,450,30,0.596,24,17,7,0,0.708,2.27,-1.88,10,25,""
"utah-state",1912,"2021",108,1082,526,528,28,0.499,14,6,8,0,0.429,-4.83,-4.84,4,13,"record adjusted to 529-525-28 by NCAA"
"vanderbilt",1902,"2021",119,1217,549,625,43,0.469,9,4,4,1,0.5,3.49,3.54,3,0,"record adjusted to 550-624-43 by NCAA"
"vermont",1901,"1905",5,48,21,22,5,0.49,0,0,0,0,0,-3,-1.06,0,0,""
"villanova",1905,"1980",59,547,270,260,17,0.509,5,2,2,1,0.5,-2.26,-3.09,3,0,""
"virginia",1890,"2021",119,1228,596,595,37,0.5,21,8,13,0,0.381,1.22,0.59,9,2,""
