"Team","Season","Conference","Wins","Losses","Ties","Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","AP_Poll_Preseason_Rank","AP_Poll_Postseason_Rank","AP_Poll_Highest_Rank","SOS","Bowl_Game","AP_High","AP_Post","Coach(es)","Bowl","Bowl_Result","Notes"
"air-force",1983,"WAC",10,2,0,0.833,5,2,"0","0.714","8.43",-2.99,NA,13,13,"Ken Hatfield (10-2)","Independence Bowl","Win",""
"air-force",1982,"WAC",8,5,0,0.615,4,3,"0","0.571","3.32",1.17,NA,NA,NA,"Ken Hatfield (8-5)","Hall of Fame Classic","Win",""
"air-force",1981,"WAC",4,7,0,0.364,2,3,"0","0.4","-6.02",0.89,NA,NA,NA,"Ken Hatfield (4-7)","","",""
"air-force",1980,"WAC",2,9,1,0.208,1,3,"0","0.25","-7.01",2.49,NA,NA,NA,"Ken Hatfield (2-9-1)","","",""
"air-force",1979,"Ind",2,9,0,0.182,NA,NA,"Unranked","Unranked","-10.27",-0.45,NA,NA,NA,"Ken Hatfield (2-9)","","",""
"air-force",1978,"Ind",3,8,0,0.273,NA,NA,"Unranked","Unranked","-14.03",-4.21,NA,NA,NA,"Bill Parcells (3-8)","","",""
"air-force",1977,"Ind",2,8,1,0.227,NA,NA,"Unranked","Unranked","-6.24",6.85,NA,NA,NA,"Ben Martin (2-8-1)","","",""
"air-force",1976,"Ind",4,7,0,0.364,NA,NA,"Unranked","Unranked","-7.15",-0.06,NA,NA,NA,"Ben Martin (4-7)","","",""
"air-force",1975,"Ind",2,8,1,0.227,NA,NA,"Unranked","Unranked","-2.93",5.53,NA,NA,NA,"Ben Martin (2-8-1)","","",""
"air-force",1974,"Ind",2,9,0,0.182,NA,NA,"Unranked","Unranked","-7.01",-1.65,NA,NA,NA,"Ben Martin (2-9)","","",""
"air-force",1973,"Ind",6,4,0,0.6,NA,NA,"Unranked","Unranked","3.88",3.38,NA,NA,NA,"Ben Martin (6-4)","","",""
"air-force",1972,"Ind",6,4,0,0.6,NA,NA,"Unranked","Unranked","3.66",-2.24,NA,16,NA,"Ben Martin (6-4)","","",""
"air-force",1971,"Ind",6,4,0,0.6,NA,NA,"Unranked","Unranked","5.5",4.3,NA,18,NA,"Ben Martin (6-4)","","",""
"air-force",1970,"Ind",9,3,0,0.75,NA,NA,"Unranked","Unranked","15.2",5.03,NA,7,16,"Ben Martin (9-3)","Sugar Bowl","Loss",""
"air-force",1969,"Ind",6,4,0,0.6,NA,NA,"Unranked","Unranked","12.13",6.23,NA,19,NA,"Ben Martin (6-4)","","",""
"air-force",1968,"Ind",7,3,0,0.7,NA,NA,"Unranked","Unranked","7.17",-1.04,NA,NA,NA,"Ben Martin (7-3)","","",""
"air-force",1967,"Ind",2,6,2,0.3,NA,NA,"Unranked","Unranked","-4.33",3.47,NA,NA,NA,"Ben Martin (2-6-2)","","",""
"air-force",1966,"Ind",4,6,0,0.4,NA,NA,"Unranked","Unranked","-0.33",3.77,NA,NA,NA,"Ben Martin (4-6)","","",""
"air-force",1965,"Ind",3,6,1,0.35,NA,NA,"Unranked","Unranked","1.44",2.94,NA,NA,NA,"Ben Martin (3-6-1)","","",""
"air-force",1964,"Ind",4,5,1,0.45,NA,NA,"Unranked","Unranked","5.6",9,NA,NA,NA,"Ben Martin (4-5-1)","","",""
"air-force",1963,"Ind",7,4,0,0.636,NA,NA,"Unranked","Unranked","8.97",2.88,NA,NA,NA,"Ben Martin (7-4)","Gator Bowl","Loss",""
"air-force",1962,"Ind",5,5,0,0.5,NA,NA,"Unranked","Unranked","0.45",0.95,NA,NA,NA,"Ben Martin (5-5)","","",""
"air-force",1961,"Ind",3,7,0,0.3,NA,NA,"Unranked","Unranked","-9.71",-1.41,NA,NA,NA,"Ben Martin (3-7)","","",""
"air-force",1960,"Ind",4,6,0,0.4,NA,NA,"Unranked","Unranked","0.1",2.8,NA,NA,NA,"Ben Martin (4-6)","","",""
"air-force",1959,"Ind",5,4,1,0.55,NA,NA,"Unranked","Unranked","3.06",0.06,15,15,NA,"Ben Martin (5-4-1)","","",""
"air-force",1958,"Ind",9,0,2,0.909,NA,NA,"Unranked","Unranked","14.31",2.4,NA,6,6,"Ben Martin (9-0-2)","Cotton Bowl","Tie",""
"air-force",1957,"Ind",3,6,1,0.35,NA,NA,"Unranked","Unranked","-11.67",-7.17,NA,NA,NA,"Buck Shaw (3-6-1)","","",""
"akron",2021,"MAC",2,10,NA,0.167,1,7,"0","0.125","-16.82",-4.41,NA,NA,NA,"Tom Arth (2-7), Oscar Rodriguez (0-3)","","",""
"akron",2020,"MAC",1,5,0,0.167,1,5,"0","0.167","-8.82",5.52,NA,NA,NA,"Tom Arth (1-5)","","",""
"akron",2019,"MAC",0,12,0,0,0,8,"0","0","-26.64",-7.06,NA,NA,NA,"Tom Arth (0-12)","","",""
"akron",2018,"MAC",4,8,0,0.333,2,6,"0","0.25","-11.66",-3.33,NA,NA,NA,"Terry Bowden (4-8)","","",""
"akron",2017,"MAC",7,7,0,0.5,6,2,"0","0.75","-4.82",-1.96,NA,NA,NA,"Terry Bowden (7-7)","Boca Raton Bowl","Loss",""
"akron",2016,"MAC",5,7,0,0.417,3,5,"0","0.375","-6.52",-3.93,NA,NA,NA,"Terry Bowden (5-7)","","",""
