Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
albany,2022,9/3/22,Away,baylor,L,10,69,13,30,43.3,150,1,30,87,2.9,0,60,237,4,6,3,1,10,10,72,1,0,1
tennessee-martin,2022,9/17/22,Away,boise-state,L,7,30,15,28,53.6,126,1,20,26,1.3,0,48,152,3.2,5,3,1,9,11,67,1,0,1
maine,2022,9/17/22,Away,boston-college,L,17,38,21,43,48.8,289,2,29,89,3.1,0,72,378,5.3,13,4,0,17,7,60,1,2,3
eastern-kentucky,2022,9/10/22,Away,bowling-green-state,W,59,57,33,47,70.2,324,3,37,118,3.2,3,84,442,5.3,20,5,3,28,9,74,1,1,2
holy-cross,2022,9/10/22,Away,buffalo,W,37,31,13,22,59.1,238,3,45,219,4.9,2,67,457,6.8,8,11,4,23,4,25,0,0,0
utah-tech,2022,11/19/22,Away,brigham-young,L,26,52,25,50,50,340,3,21,80,3.8,0,71,420,5.9,9,5,4,18,5,50,0,1,1
california-davis,2022,9/3/22,Away,california,L,13,34,32,50,64,242,1,27,145,5.4,1,77,387,5,13,6,0,19,3,31,0,2,2
bucknell,2022,9/17/22,Away,central-michigan,L,0,41,17,36,47.2,153,0,30,19,0.6,0,66,172,2.6,9,2,1,12,3,24,1,1,2
william-mary,2022,9/2/22,Away,charlotte,W,41,24,13,19,68.4,256,2,47,303,6.4,3,66,559,8.5,9,13,3,25,7,80,0,0,0
kennesaw-state,2022,9/10/22,Away,cincinnati,L,10,63,7,15,46.7,111,0,61,142,2.3,1,76,253,3.3,5,8,2,15,0,0,2,1,3
furman,2022,9/10/22,Away,clemson,L,12,35,31,40,77.5,259,1,34,125,3.7,0,74,384,5.2,12,6,1,19,7,64,1,1,2
gardner-webb,2022,9/10/22,Away,coastal-carolina,L,27,31,28,38,73.7,448,1,28,47,1.7,2,66,495,7.5,15,6,2,23,10,70,3,2,5
sacramento-state,2022,9/24/22,Away,colorado-state,W,41,10,22,33,66.7,235,2,43,160,3.7,3,76,395,5.2,12,11,2,25,1,5,0,1,1
central-connecticut-state,2022,9/3/22,Away,connecticut,L,3,28,16,30,53.3,164,0,22,78,3.5,0,52,242,4.7,6,6,2,14,5,30,0,1,1
north-carolina-at,2022,9/17/22,Away,duke,L,20,49,13,22,59.1,137,1,41,217,5.3,1,63,354,5.6,7,9,2,18,4,20,2,0,2
campbell,2022,9/17/22,Away,east-carolina,L,10,49,23,38,60.5,300,1,33,103,3.1,0,71,403,5.7,12,9,0,21,7,69,0,1,1
eastern-kentucky,2022,9/2/22,Away,eastern-michigan,L,34,42,35,51,68.6,351,3,28,141,5,1,79,492,6.2,21,5,3,29,12,108,1,1,2
eastern-washington,2022,10/2/22,Away,florida,L,17,52,25,40,62.5,258,1,45,153,3.4,1,85,411,4.8,15,12,0,27,5,45,2,0,2
southeastern-louisiana,2022,9/10/22,Away,florida-atlantic,L,9,42,17,33,51.5,202,1,24,44,1.8,0,57,246,4.3,9,4,3,16,10,75,1,0,1
bryant,2022,9/1/22,Away,florida-international,L,37,38,29,41,70.7,349,2,37,121,3.3,3,78,470,6,17,8,3,28,15,130,2,0,2
duquesne,2022,8/27/22,Away,florida-state,L,7,47,7,17,41.2,71,1,30,93,3.1,0,47,164,3.5,5,4,2,11,4,29,0,0,0
cal-poly,2022,9/1/22,Away,fresno-state,L,7,35,20,38,52.6,211,1,30,106,3.5,0,68,317,4.7,9,5,3,17,8,36,0,0,0
samford,2022,9/10/22,Away,georgia,L,0,33,16,26,61.5,109,0,17,19,1.1,0,43,128,3,3,0,0,3,5,36,1,0,1
morgan-state,2022,9/3/22,Away,georgia-southern,L,7,59,10,27,37,78,0,32,172,5.4,0,59,250,4.2,4,7,1,12,7,59,1,3,4
western-carolina,2022,9/10/22,Away,georgia-tech,L,17,35,24,35,68.6,271,2,40,119,3,0,75,390,5.2,14,9,3,26,7,65,1,3,4
duquesne,2022,9/18/22,Away,hawaii,L,14,24,22,43,51.2,230,1,38,134,3.5,0,81,364,4.5,11,10,3,24,3,17,0,3,3
chattanooga,2022,9/22/22,Away,illinois,L,0,31,6,19,31.6,49,0,33,93,2.8,0,52,142,2.7,3,4,0,7,1,15,0,2,2
idaho,2022,9/10/22,Away,indiana,L,22,35,13,23,56.5,204,3,44,126,2.9,0,67,330,4.9,6,7,1,14,8,56,0,0,0
south-dakota-state,2022,9/3/22,Away,iowa,L,3,7,10,26,38.5,87,0,31,33,1.1,0,57,120,2.1,3,3,0,6,12,66,0,0,0
southeast-missouri-state,2022,9/3/22,Away,iowa-state,L,10,42,19,38,50,222,1,22,98,4.5,0,60,320,5.3,8,7,0,15,9,100,0,1,1
norfolk-state,2022,9/10/22,Away,james-madison,L,7,63,9,22,40.9,203,1,26,4,0.2,0,48,207,4.3,7,1,2,10,6,40,1,1,2
tennessee-tech,2022,9/2/22,Away,kansas,L,10,56,15,26,57.7,97,1,43,93,2.2,0,69,190,2.8,8,4,2,14,4,19,0,1,1
south-dakota,2022,9/3/22,Away,kansas-state,L,0,34,18,34,52.9,139,0,35,131,3.7,0,69,270,3.9,7,6,0,13,9,75,0,1,1
long-island,2022,9/17/22,Away,kent-state,L,10,63,16,26,61.5,195,1,38,112,2.9,0,64,307,4.8,8,7,1,16,5,42,0,0,0
youngstown-state,2022,9/17/22,Away,kentucky,L,0,31,9,24,37.5,134,0,22,58,2.6,0,46,192,4.2,5,1,3,9,7,46,0,1,1
gardner-webb,2022,10/15/22,Away,liberty,L,20,21,23,44,52.3,239,1,34,86,2.5,1,78,325,4.2,13,5,4,22,6,42,0,3,3
southeastern-louisiana,2022,9/3/22,Away,louisiana-lafayette,L,7,24,22,35,62.9,149,0,27,111,4.1,1,62,260,4.2,7,5,0,12,8,60,0,2,2
stephen-f.-austin,2022,9/10/22,Away,louisiana-tech,L,17,52,11,31,35.5,161,1,37,144,3.9,1,68,305,4.5,4,12,1,17,10,91,2,1,3
nicholls-state,2022,9/10/22,Away,louisiana-monroe,L,7,35,26,42,61.9,231,1,23,75,3.3,0,65,306,4.7,10,3,1,14,4,44,0,1,1
southern,2022,9/10/22,Away,louisiana-state,L,17,65,9,17,52.9,61,0,42,201,4.8,1,59,262,4.4,3,11,1,15,2,8,4,1,5
norfolk-state,2022,9/3/22,Away,marshall,L,3,55,6,14,42.9,84,0,31,30,1,0,45,114,2.5,3,2,0,5,3,14,1,1,2
gardner-webb,2022,10/1/22,Away,marshall,L,7,28,11,32,34.4,124,0,19,19,1,0,51,143,2.8,4,2,1,7,4,25,1,3,4
stony-brook,2022,9/17/22,Away,massachusetts,L,3,20,16,34,47.1,206,0,31,127,4.1,0,65,333,5.1,9,6,1,16,8,55,0,2,2
north-alabama,2022,11/19/22,Away,memphis,L,0,59,6,19,31.6,24,0,30,100,3.3,0,49,124,2.5,0,8,1,9,3,19,1,2,3
bethune-cookman,2022,9/3/22,Away,miami-fl,L,13,70,14,27,51.9,250,1,29,93,3.2,0,56,343,6.1,9,3,1,13,13,96,0,3,3
robert-morris,2022,9/10/22,Away,miami-oh,L,14,31,18,29,62.1,179,1,27,40,1.5,1,56,219,3.9,5,3,1,9,5,30,0,2,2
tennessee-state,2022,9/17/22,Away,middle-tennessee-state,L,6,49,18,29,62.1,149,1,27,61,2.3,0,56,210,3.8,7,6,1,14,4,50,0,2,2
western-illinois,2022,9/10/22,Away,minnesota,L,10,62,16,32,50,159,1,19,35,1.8,0,51,194,3.8,6,1,1,8,9,63,0,1,1
east-tennessee-state,2022,11/19/22,Away,mississippi-state,L,7,56,6,18,33.3,43,0,40,111,2.8,0,58,154,2.7,2,9,0,11,4,36,0,3,3
abilene-christian,2022,9/17/22,Away,missouri,L,17,34,19,32,59.4,199,1,27,109,4,0,59,308,5.2,6,4,1,11,1,5,1,1,2
delaware,2022,9/3/22,Away,navy,W,14,7,20,32,62.5,189,2,29,13,0.4,0,61,202,3.3,7,3,3,13,7,65,1,0,1
north-dakota,2022,9/3/22,Away,nebraska,L,17,38,24,37,64.9,131,1,33,175,5.3,1,70,306,4.4,6,10,2,18,6,70,1,0,1
incarnate-word,2022,9/10/22,Away,nevada,W,55,41,19,26,73.1,435,4,43,181,4.2,2,69,616,8.9,14,7,1,22,18,145,1,1,2
idaho-state,2022,8/27/22,Away,nevada-las-vegas,L,21,52,14,26,53.8,191,2,40,47,1.2,1,66,238,3.6,6,4,2,12,4,27,0,1,1
maine,2022,9/3/22,Away,new-mexico,L,0,41,12,27,44.4,96,0,20,22,1.1,0,47,118,2.5,4,0,3,7,9,75,1,1,2
lamar,2022,11/12/22,Away,new-mexico-state,L,14,51,11,27,40.7,122,1,33,125,3.8,1,60,247,4.1,6,6,2,14,5,48,1,2,3
valparaiso,2022,12/3/22,Away,new-mexico-state,L,3,65,21,43,48.8,160,0,35,28,0.8,0,78,188,2.4,9,2,4,15,7,40,0,0,0
florida-am,2022,8/27/22,Away,north-carolina,L,24,56,28,39,71.8,279,2,27,56,2.1,1,66,335,5.1,14,5,1,20,8,48,1,1,2
charleston-southern,2022,9/10/22,Away,north-carolina-state,L,3,55,22,47,46.8,114,0,15,36,2.4,0,62,150,2.4,5,3,1,9,6,55,1,2,3
texas-southern,2022,9/10/22,Away,north-texas,L,27,59,19,29,65.5,239,1,47,219,4.7,2,76,458,6,14,9,3,26,10,119,1,0,1
eastern-illinois,2022,9/1/22,Away,northern-illinois,L,27,34,25,35,71.4,276,3,30,165,5.5,0,65,441,6.8,16,7,2,25,8,70,0,2,2
southern-illinois,2022,9/17/22,Away,northwestern,W,31,24,25,37,67.6,261,3,35,96,2.7,1,72,357,5,13,7,2,22,4,42,0,1,1
fordham,2022,9/24/22,Away,ohio,L,52,59,27,35,77.1,503,6,33,137,4.2,1,68,640,9.4,18,7,3,28,11,111,1,0,1
arkansas-pine-bluff,2022,9/17/22,Away,oklahoma-state,L,7,63,16,41,39,149,1,31,81,2.6,0,72,230,3.2,7,6,0,13,3,45,0,0,0
central-arkansas,2022,9/10/22,Away,mississippi,L,3,59,14,31,45.2,131,0,40,102,2.6,0,71,233,3.3,5,7,0,12,8,68,2,2,4
eastern-washington,2022,9/10/22,Away,oregon,L,14,70,12,23,52.2,87,2,28,100,3.6,0,51,187,3.7,4,6,1,11,5,52,0,2,2
montana-state,2022,9/17/22,Neutral,oregon-state,L,28,68,9,18,50,101,0,32,168,5.3,3,50,269,5.4,5,9,0,14,3,27,0,3,3
rhode-island,2022,9/24/22,Away,pittsburgh,L,24,45,17,30,56.7,223,1,22,63,2.9,2,52,286,5.5,12,1,3,16,7,50,0,0,0
indiana-state,2022,9/10/22,Away,purdue,L,0,56,9,20,45,94,0,36,51,1.4,0,56,145,2.6,4,3,0,7,4,38,1,2,3
mcneese-state,2022,9/10/22,Away,rice,L,10,52,8,21,38.1,91,0,30,172,5.7,1,51,263,5.2,3,8,3,14,2,20,3,2,5
wagner,2022,9/10/22,Away,rutgers,L,7,66,12,23,52.2,126,1,31,19,0.6,0,54,145,2.7,6,1,2,9,8,47,0,2,2
idaho-state,2022,9/10/22,Away,san-diego-state,L,7,38,24,40,60,258,1,33,80,2.4,0,73,338,4.6,9,4,1,14,7,50,0,0,0
portland-state,2022,9/1/22,Away,san-jose-state,L,17,21,24,37,64.9,270,2,35,125,3.6,0,72,395,5.5,13,9,2,24,7,59,1,2,3
lamar,2022,9/10/22,Away,southern-methodist,L,16,45,13,33,39.4,148,0,43,104,2.4,1,76,252,3.3,7,6,3,16,9,76,1,1,2
nicholls-state,2022,9/3/22,Away,south-alabama,L,7,48,15,28,53.6,106,0,27,59,2.2,1,55,165,3,4,5,1,10,2,9,1,1,2
south-carolina-state,2022,9/29/22,Away,south-carolina,L,10,50,7,18,38.9,75,0,40,145,3.6,1,58,220,3.8,3,7,3,13,12,117,0,3,3
howard,2022,9/10/22,Away,south-florida,L,20,42,28,37,75.7,250,0,40,168,4.2,3,77,418,5.4,14,8,2,24,5,43,2,1,3
northwestern-state,2022,9/17/22,Away,southern-mississippi,L,10,64,18,38,47.4,218,1,27,16,0.6,0,65,234,3.6,8,0,0,8,7,58,1,1,2
colgate,2022,9/3/22,Away,stanford,L,10,41,10,20,50,59,0,39,159,4.1,0,59,218,3.7,2,9,0,11,6,40,0,1,1
wagner,2022,10/1/22,Away,syracuse,L,0,59,2,6,33.3,19,0,32,31,1,0,38,50,1.3,1,3,0,4,3,25,0,1,1
lafayette,2022,9/10/22,Away,temple,L,14,30,12,17,70.6,83,2,39,27,0.7,0,56,110,2,5,2,0,7,7,43,0,0,0
tennessee-martin,2022,10/22/22,Away,tennessee,L,24,65,28,47,59.6,316,2,29,76,2.6,1,76,392,5.2,16,4,5,25,5,39,1,1,2
sam-houston-state,2022,9/3/22,Away,texas-am,L,0,31,14,28,50,91,0,27,107,4,0,55,198,3.6,5,4,1,10,7,70,1,1,2
tarleton-state,2022,9/10/22,Away,texas-christian,L,17,59,11,26,42.3,210,1,28,85,3,1,54,295,5.5,8,5,0,13,4,20,0,2,2
houston-christian,2022,9/24/22,Away,texas-state,L,0,34,23,36,63.9,103,0,19,33,1.7,0,55,136,2.5,5,2,1,8,8,75,0,1,1
murray-state,2022,9/3/22,Away,texas-tech,L,10,63,9,23,39.1,208,1,41,50,1.2,0,64,258,4,6,2,2,10,6,55,0,0,0
long-island,2022,9/1/22,Away,toledo,L,0,37,14,26,53.8,68,0,34,45,1.3,0,60,113,1.9,2,4,1,7,10,54,0,1,1
alabama-am,2022,9/10/22,Away,troy,L,17,38,22,47,46.8,292,0,35,64,1.8,2,82,356,4.3,14,3,4,21,9,107,0,2,2
alcorn-state,2022,9/10/22,Away,tulane,L,0,52,5,14,35.7,49,0,32,60,1.9,0,46,109,2.4,2,2,0,4,7,63,0,1,1
jacksonville-state,2022,9/17/22,Away,tulsa,L,17,54,7,17,41.2,87,0,50,208,4.2,2,67,295,4.4,2,13,2,17,6,50,2,1,3
alabama-am,2022,9/1/22,Away,alabama-birmingham,L,0,59,16,33,48.5,137,0,39,98,2.5,0,72,235,3.3,9,4,2,15,4,45,1,3,4
south-carolina-state,2022,9/1/22,Away,central-florida,L,10,56,7,23,30.4,56,1,33,35,1.1,0,56,91,1.6,2,4,3,9,7,40,0,1,1
alabama-state,2022,9/10/22,Away,ucla,L,7,45,18,32,56.3,223,1,36,87,2.4,0,68,310,4.6,9,7,2,18,8,71,1,2,3
southern-utah,2022,9/10/22,Away,utah,L,7,73,11,23,47.8,42,0,21,43,2,1,44,85,1.9,2,1,1,4,10,102,0,2,2
weber-state,2022,9/10/22,Away,utah-state,W,35,7,11,22,50,202,2,55,199,3.6,1,77,401,5.2,7,12,3,22,8,56,0,3,3
texas-southern,2022,9/24/22,Away,texas-san-antonio,L,24,52,17,32,53.1,229,1,50,235,4.7,2,82,464,5.7,10,11,1,22,3,35,0,2,2
elon,2022,9/3/22,Away,vanderbilt,L,31,42,20,34,58.8,343,2,42,152,3.6,2,76,495,6.5,13,7,3,23,6,54,1,0,1
richmond,2022,9/3/22,Away,virginia,L,17,34,23,34,67.6,160,1,35,170,4.9,1,69,330,4.8,10,9,1,20,4,55,0,0,0
wofford,2022,9/17/22,Away,virginia-tech,L,7,27,14,20,70,161,0,24,38,1.6,1,44,199,4.5,7,3,2,12,3,26,0,0,0
virginia-military-institute,2022,9/1/22,Away,wake-forest,L,10,44,19,36,52.8,139,1,32,83,2.6,0,68,222,3.3,4,7,2,13,4,24,1,0,1
portland-state,2022,9/10/22,Away,washington,L,6,52,7,20,35,50,0,31,81,2.6,0,51,131,2.6,2,5,5,12,6,26,0,0,0
idaho,2022,9/3/22,Away,washington-state,L,17,24,21,32,65.6,212,1,34,61,1.8,0,66,273,4.1,8,4,1,13,7,50,0,2,2
towson,2022,9/17/22,Away,west-virginia,L,7,65,10,23,43.5,98,0,32,82,2.6,0,55,180,3.3,4,7,0,11,7,65,1,0,1
austin-peay,2022,8/27/22,Away,western-kentucky,L,27,38,15,21,71.4,162,2,49,157,3.2,1,70,319,4.6,4,12,3,19,8,65,2,2,4
new-hampshire,2022,10/1/22,Away,western-michigan,L,7,44,22,34,64.7,161,1,39,44,1.1,0,73,205,2.8,8,5,5,18,10,85,2,2,4
illinois-state,2022,9/3/22,Away,wisconsin,L,0,38,16,24,66.7,186,0,26,57,2.2,0,50,243,4.9,9,3,2,14,4,25,0,2,2
northern-colorado,2022,9/10/22,Away,wyoming,L,10,33,16,36,44.4,132,1,24,15,0.6,0,60,147,2.5,5,2,2,9,7,52,1,2,3
