Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
northern-iowa,2022,9/3/22,Away,air-force,L,17,48,20,32,62.5,286,2,24,119,5,0,56,405,7.2,17,4,0,21,2,15,1,1,2
st.-francis-pa,2022,9/1/22,Away,akron,L,23,30,21,34,61.8,264,0,40,189,4.7,2,74,453,6.1,11,7,0,18,10,62,1,1,2
austin-peay,2022,11/19/22,Away,alabama,L,0,34,20,33,60.6,147,0,25,59,2.4,0,58,206,3.6,9,2,1,12,3,30,1,2,3
citadel,2022,10/1/22,Away,appalachian-state,L,0,49,3,8,37.5,51,0,59,172,2.9,0,67,223,3.3,2,11,0,13,4,25,1,1,2
robert-morris,2022,10/29/22,Away,appalachian-state,L,3,42,10,30,33.3,70,0,27,78,2.9,0,57,148,2.6,2,4,1,7,3,30,0,1,1
north-dakota-state,2022,9/17/22,Away,arizona,L,28,31,10,12,83.3,124,1,45,283,6.3,3,57,407,7.1,5,15,1,21,6,60,1,0,1
northern-arizona,2022,9/1/22,Away,arizona-state,L,3,40,20,30,66.7,97,0,23,23,1,0,53,120,2.3,4,2,1,7,5,52,0,2,2
missouri-state,2022,9/17/22,Away,arkansas,L,27,38,24,43,55.8,357,1,32,52,1.6,2,75,409,5.5,14,5,2,21,8,63,0,0,0
grambling-state,2022,9/3/22,Away,arkansas-state,L,3,58,4,18,22.2,52,0,33,50,1.5,0,51,102,2,2,4,3,9,15,132,0,1,1
villanova,2022,9/17/22,Away,army,L,10,49,12,22,54.5,74,1,35,173,4.9,0,57,247,4.3,3,9,3,15,7,55,1,2,3
colgate,2022,10/15/22,Away,army,L,17,42,18,32,56.3,149,1,32,193,6,1,64,342,5.3,7,9,1,17,4,30,1,1,2
mercer,2022,9/3/22,Away,auburn,L,16,42,21,36,58.3,197,2,31,74,2.4,0,67,271,4,12,2,1,15,10,70,0,0,0
murray-state,2022,9/17/22,Away,ball-state,L,0,31,8,23,34.8,68,0,30,87,2.9,0,53,155,2.9,3,3,3,9,4,35,1,2,3
