"","Team","Season","Date","Location","Opponent","Result","Points_Scored","Opp_points","Pass_Completions","Pass_Attempts","Passing_Pct","Pass_Yards","Pass_TD","Rush_Attempts","Rush_Yards","Rush_Avg","Rush_TD","Total_Plays","Total_Yards","Yards_per_play","Pass_first_downs","Rush_first_downs","Penalty_first_downs","Total_first_downs","Penalties","Penalty_yards","Fumbles","Interceptions","Turnovers"
"11","colgate",2022,2022-10-15,"Away","army","L",17,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","mercer",2022,2022-09-03,"Away","auburn","L",16,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","murray-state",2022,2022-09-17,"Away","ball-state","L",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","albany",2022,2022-09-03,"Away","baylor","L",10,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","tennessee-martin",2022,2022-09-17,"Away","boise-state","L",7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","maine",2022,2022-09-17,"Away","boston-college","L",17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","eastern-kentucky",2022,2022-09-10,"Away","bowling-green-state","W",59,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","holy-cross",2022,2022-09-10,"Away","buffalo","W",37,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","utah-tech",2022,2022-11-19,"Away","brigham-young","L",26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","california-davis",2022,2022-09-03,"Away","california","L",13,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","bucknell",2022,2022-09-17,"Away","central-michigan","L",0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","william-mary",2022,2022-09-02,"Away","charlotte","W",41,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","kennesaw-state",2022,2022-09-10,"Away","cincinnati","L",10,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","furman",2022,2022-09-10,"Away","clemson","L",12,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","gardner-webb",2022,2022-09-10,"Away","coastal-carolina","L",27,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","sacramento-state",2022,2022-09-24,"Away","colorado-state","W",41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","central-connecticut-state",2022,2022-09-03,"Away","connecticut","L",3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","north-carolina-at",2022,2022-09-17,"Away","duke","L",20,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","campbell",2022,2022-09-17,"Away","east-carolina","L",10,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","eastern-kentucky",2022,2022-09-02,"Away","eastern-michigan","L",34,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","eastern-washington",2022,2022-10-02,"Away","florida","L",17,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","southeastern-louisiana",2022,2022-09-10,"Away","florida-atlantic","L",9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","bryant",2022,2022-09-01,"Away","florida-international","L",37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","duquesne",2022,2022-08-27,"Away","florida-state","L",7,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","cal-poly",2022,2022-09-01,"Away","fresno-state","L",7,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","samford",2022,2022-09-10,"Away","georgia","L",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","morgan-state",2022,2022-09-03,"Away","georgia-southern","L",7,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","western-carolina",2022,2022-09-10,"Away","georgia-tech","L",17,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","duquesne",2022,2022-09-18,"Away","hawaii","L",14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","chattanooga",2022,2022-09-22,"Away","illinois","L",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","idaho",2022,2022-09-10,"Away","indiana","L",22,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","south-dakota-state",2022,2022-09-03,"Away","iowa","L",3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","southeast-missouri-state",2022,2022-09-03,"Away","iowa-state","L",10,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","norfolk-state",2022,2022-09-10,"Away","james-madison","L",7,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","tennessee-tech",2022,2022-09-02,"Away","kansas","L",10,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","south-dakota",2022,2022-09-03,"Away","kansas-state","L",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","long-island",2022,2022-09-17,"Away","kent-state","L",10,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","youngstown-state",2022,2022-09-17,"Away","kentucky","L",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","gardner-webb",2022,2022-10-15,"Away","liberty","L",20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","southeastern-louisiana",2022,2022-09-03,"Away","louisiana-lafayette","L",7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","stephen-f.-austin",2022,2022-09-10,"Away","louisiana-tech","L",17,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","nicholls-state",2022,2022-09-10,"Away","louisiana-monroe","L",7,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","southern",2022,2022-09-10,"Away","louisiana-state","L",17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","norfolk-state",2022,2022-09-03,"Away","marshall","L",3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","gardner-webb",2022,2022-10-01,"Away","marshall","L",7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","stony-brook",2022,2022-09-17,"Away","massachusetts","L",3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","north-alabama",2022,2022-11-19,"Away","memphis","L",0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","bethune-cookman",2022,2022-09-03,"Away","miami-fl","L",13,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","robert-morris",2022,2022-09-10,"Away","miami-oh","L",14,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","tennessee-state",2022,2022-09-17,"Away","middle-tennessee-state","L",6,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","western-illinois",2022,2022-09-10,"Away","minnesota","L",10,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","east-tennessee-state",2022,2022-11-19,"Away","mississippi-state","L",7,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","abilene-christian",2022,2022-09-17,"Away","missouri","L",17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","delaware",2022,2022-09-03,"Away","navy","W",14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","north-dakota",2022,2022-09-03,"Away","nebraska","L",17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","incarnate-word",2022,2022-09-10,"Away","nevada","W",55,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","idaho-state",2022,2022-08-27,"Away","nevada-las-vegas","L",21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","maine",2022,2022-09-03,"Away","new-mexico","L",0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","lamar",2022,2022-11-12,"Away","new-mexico-state","L",14,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","valparaiso",2022,2022-12-03,"Away","new-mexico-state","L",3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","florida-am",2022,2022-08-27,"Away","north-carolina","L",24,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","charleston-southern",2022,2022-09-10,"Away","north-carolina-state","L",3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","texas-southern",2022,2022-09-10,"Away","north-texas","L",27,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","eastern-illinois",2022,2022-09-01,"Away","northern-illinois","L",27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","southern-illinois",2022,2022-09-17,"Away","northwestern","W",31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","fordham",2022,2022-09-24,"Away","ohio","L",52,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","arkansas-pine-bluff",2022,2022-09-17,"Away","oklahoma-state","L",7,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","central-arkansas",2022,2022-09-10,"Away","mississippi","L",3,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","eastern-washington",2022,2022-09-10,"Away","oregon","L",14,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","montana-state",2022,2022-09-17,"Neutral","oregon-state","L",28,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","rhode-island",2022,2022-09-24,"Away","pittsburgh","L",24,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","indiana-state",2022,2022-09-10,"Away","purdue","L",0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","mcneese-state",2022,2022-09-10,"Away","rice","L",10,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","wagner",2022,2022-09-10,"Away","rutgers","L",7,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","idaho-state",2022,2022-09-10,"Away","san-diego-state","L",7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","portland-state",2022,2022-09-01,"Away","san-jose-state","L",17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","lamar",2022,2022-09-10,"Away","southern-methodist","L",16,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","nicholls-state",2022,2022-09-03,"Away","south-alabama","L",7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","south-carolina-state",2022,2022-09-29,"Away","south-carolina","L",10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","howard",2022,2022-09-10,"Away","south-florida","L",20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","northwestern-state",2022,2022-09-17,"Away","southern-mississippi","L",10,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","colgate",2022,2022-09-03,"Away","stanford","L",10,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","wagner",2022,2022-10-01,"Away","syracuse","L",0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","lafayette",2022,2022-09-10,"Away","temple","L",14,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","tennessee-martin",2022,2022-10-22,"Away","tennessee","L",24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","sam-houston-state",2022,2022-09-03,"Away","texas-am","L",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","tarleton-state",2022,2022-09-10,"Away","texas-christian","L",17,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","houston-christian",2022,2022-09-24,"Away","texas-state","L",0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","murray-state",2022,2022-09-03,"Away","texas-tech","L",10,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","long-island",2022,2022-09-01,"Away","toledo","L",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","alabama-am",2022,2022-09-10,"Away","troy","L",17,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","alcorn-state",2022,2022-09-10,"Away","tulane","L",0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","jacksonville-state",2022,2022-09-17,"Away","tulsa","L",17,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","alabama-am",2022,2022-09-01,"Away","alabama-birmingham","L",0,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","south-carolina-state",2022,2022-09-01,"Away","central-florida","L",10,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","alabama-state",2022,2022-09-10,"Away","ucla","L",7,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","southern-utah",2022,2022-09-10,"Away","utah","L",7,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","weber-state",2022,2022-09-10,"Away","utah-state","W",35,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","texas-southern",2022,2022-09-24,"Away","texas-san-antonio","L",24,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","elon",2022,2022-09-03,"Away","vanderbilt","L",31,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","richmond",2022,2022-09-03,"Away","virginia","L",17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","wofford",2022,2022-09-17,"Away","virginia-tech","L",7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","virginia-military-institute",2022,2022-09-01,"Away","wake-forest","L",10,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","portland-state",2022,2022-09-10,"Away","washington","L",6,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","idaho",2022,2022-09-03,"Away","washington-state","L",17,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","towson",2022,2022-09-17,"Away","west-virginia","L",7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","austin-peay",2022,2022-08-27,"Away","western-kentucky","L",27,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","new-hampshire",2022,2022-10-01,"Away","western-michigan","L",7,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","illinois-state",2022,2022-09-03,"Away","wisconsin","L",0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","northern-colorado",2022,2022-09-10,"Away","wyoming","L",10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
